time,S,C,ε,γ,κ,β,θ,K
203.0,1898.9138,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
210.0,1898.9122,101.08432,0.00012852607,0.05,0.071428575,0.01,1e-04,0.5
217.0,1898.9132,101.08432,0.00012852607,0.05,0.071428575,0.01,1e-04,0.5
224.0,1898.9155,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
231.0,1898.9159,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
238.0,1898.914,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
245.0,1898.9119,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
252.0,1898.9154,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
259.0,1898.9163,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
266.0,1898.9128,101.08431,0.00012852607,0.05,0.071428575,0.01,1e-04,0.5
273.0,1898.9155,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
280.0,1898.916,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
287.0,1898.9136,101.08431,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
294.0,1898.9156,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
301.0,1898.9159,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
308.0,1898.9142,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
315.0,1898.9156,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
322.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
329.0,1898.9147,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
336.0,1898.9172,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
343.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
350.0,1898.915,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
357.0,1898.9167,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
364.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
371.0,1898.9153,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
378.0,1898.9164,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
385.0,1898.9122,101.08431,0.00012852607,0.05,0.071428575,0.01,1e-04,0.5
392.0,1898.9154,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
399.0,1898.9161,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
406.0,1898.9132,101.08431,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
413.0,1898.9155,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
420.0,1898.9159,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
427.0,1898.914,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
434.0,1898.9156,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
441.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
448.0,1898.9144,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
455.0,1898.9175,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
462.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
469.0,1898.9148,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
476.0,1898.917,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
483.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
490.0,1898.9152,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
497.0,1898.9166,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
504.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
511.0,1898.9153,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
518.0,1898.9163,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
525.0,1898.9127,101.08431,0.00012852607,0.05,0.071428575,0.01,1e-04,0.5
532.0,1898.9155,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
539.0,1898.916,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
546.0,1898.9135,101.08431,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
553.0,1898.9155,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
560.0,1898.9159,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
567.0,1898.9142,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
574.0,1898.9156,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
581.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
588.0,1898.9146,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
595.0,1898.9172,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
602.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
609.0,1898.9149,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
616.0,1898.9169,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
623.0,1898.9158,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
630.0,1898.9153,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
637.0,1898.9165,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
644.0,1898.9121,101.08431,0.00012852607,0.05,0.071428575,0.01,1e-04,0.5
651.0,1898.9154,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
658.0,1898.9161,101.08432,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
665.0,1898.9131,101.08431,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
672.0,1898.9155,101.08433,0.00012852605,0.05,0.071428575,0.01,1e-04,0.5
